The identification process of an online financial services company requires that new users must complete an online interview with their security team. The completed recorded interviews are only required in the event of a legal issue or a regulatory compliance breach. What is the most cost-effective service to store the recorded videos?,S3 Intelligent-Tiering.,AWS Marketplace.,Amazon S3 Glacier Deep Archive.,Amazon EBS.,,C
Which service provides DNS in the AWS cloud?,Route 53.,AWS Config.,Amazon CloudFront.,Amazon EMR.,,A
Hundreds of thousands of DDoS attacks are recorded every month worldwide. What service does AWS provide to help protect AWS Customers from these attacks? (Choose TWO),AWS Shield.,AWS Config.,Amazon Cognito.,AWS WAF.,AWS KMS.,AD
A company is deploying a new two-tier web application in AWS. Where should the most frequently accessed data be stored so that the application�s response time is optimal?,AWS OpsWorks.,AWS Storage Gateway.,Amazon EBS volume.,Amazon ElastiCache.,,D
You want to run a questionnaire application for only one day (without interruption) which Amazon EC2 purchase option should you use?,Reserved instances.,Spot instances.,Dedicated instances.,On-demand instances.,,D
You are working on a project that involves creating thumbnails of millions of images. Consistent uptime is not an issue and continuous processing is not required. Which EC2 buying option would be the most cost-effective?,Reserved Instances.,On-demand Instances.,Dedicated Instances.,Spot Instances.,,D
Which of the following can be described as a global content delivery network (CDN) service?,AWS VPN.,AWS Direct Connect.,AWS Regions.,Amazon CloudFront.,,D
Which of the following services allows customers to manage their agreements with AWS?,AWS Artifact.,AWS Certificate Manager.,AWS Systems Manager.,AWS Organizations.,,A
Which of the following are examples of AWS-Managed Services where AWS is responsible for the operational and maintenance burdens of running the service? (Choose TWO),Amazon VPC.,Amazon DynamoDB.,Amazon Elastic MapReduce.,AWS IAM.,Amazon Elastic Compute Cloud.,BC
Your company has a data store application that requires access to a NoSQL database. Which AWS database offering would meet this requirement?,Amazon Aurora.,Amazon DynamoDB.,Amazon Elastic Block Store.,Amazon Redshift.,,B
As part of the Enterprise support plan who is the primary point of contact for ongoing support needs?,AWS Identity and Access Management (IAM) user.,Infrastructure Event Management (IEM) engineer.,AWS Consulting Partners.,Technical Account Manager (TAM).,,D
How can you view the distribution of AWS spending in one of your AWS accounts?,By using Amazon VPC console.,By contacting the AWS Support team.,By using AWS Cost Explorer.,By contacting the AWS Finance team.,,C
Which of the following must an IAM user provide to interact with AWS services using the AWS Command Line Interface (AWS CLI)?,Access keys.,Secret token.,UserID.,User name and password.,,A
You have AWS Basic support and you have discovered that some AWS resources are being used maliciously and those resources could potentially compromise your data. What should you do?,Contact the AWS Customer Service team.,Contact the AWS Abuse team.,Contact the AWS Concierge team.,Contact the AWS Security team.,,B
Select TWO examples of the AWS shared controls.,Patch Management.,IAM Management.,VPC Management.,Configuration Management.,Data Center operations.,AD
In order to implement best practices when dealing with a �Single Point of Failure� you should attempt to build as much automation as possible in both detecting and reacting to failure. Which of the following AWS services would help? (Choose TWO),ELB.,Auto Scaling.,Amazon Athen.,ECR.,Amazon EC2.,AB
A company is planning to host an educational website on AWS. Their video courses will be streamed all around the world. Which of the following AWS services will help achieve high transfer speeds?,Amazon SNS.,Amazon Kinesis Video Streams.,AWS CloudFormation.,Amazon CloudFront.,,D
A developer is planning to build a two-tier web application that has a MySQL database layer. Which of the following AWS database services would provide automated backups for the application?,A MySQL database installed on an EC2 instance.,Amazon Aurora.,Amazon DynamoDB.,Amazon Neptune.,,B
What is the AWS service that enables AWS architects to manage infrastructure as code?,AWS CloudFormation.,AWS Config.,Amazon SES.,Amazon EMR.,,A
Under the shared responsibility model which of the following is the responsibility of AWS?,Client-side encryption.,Configuring infrastructure devices.,Server-side encryption.,Filtering traffic with Security Groups.,,B
What does the AWS Health Dashboard provide? (Choose TWO),Detailed troubleshooting guidance to address AWS events impacting your resources.,Health checks for Auto Scaling instances.,Recommendations for Cost Optimization.,A dashboard detailing vulnerabilities in your applications.,Personalized view of AWS service health.,AE
You have deployed your application on multiple Amazon EC2 instances. Your customers complain that sometimes they can�t reach your application. Which AWS service allows you to monitor the performance of your EC2 instances to assist in troubleshooting these issues?,AWS Lambda.,AWS Config.,Amazon CloudWatch.,AWS CloudTrail.,,C
Your company is developing a critical web application in AWS and the security of the application is a top priority. Which of the following AWS services will provide infrastructure security optimization recommendations?,AWS Shield.,AWS Management Console.,AWS Secrets Manager.,AWS Trusted Advisor.,,D
Which of the following is not a benefit of Amazon S3? (Choose TWO),Amazon S3 provides unlimited storage for any type of data.,Amazon S3 can run any type of application or backend system.,Amazon S3 stores any number of objects but with object size limits.,Amazon S3 can be scaled manually to store and retrieve any amount of data from anywhere.,Amazon S3 provides 99.999999999% (11 9�s) of data durability.,BD
In the AWS Shared responsibility Model which of the following are the responsibility of the customer? (Choose TWO),Disk disposal.,Controlling physical access to compute resources.,Patching the Network infrastructure.,Setting password complexity rules.,Configuring network access rules.,DE
What does AWS provide to deploy popular technologies such as IBM MQ on AWS with the least amount of effort and time?,Amazon Aurora.,Amazon CloudWatch.,AWS Quick Start reference deployments.,AWS OpsWorks.,,C
An organization has decided to purchase an Amazon EC2 Reserved Instance (RI) for three years in order to reduce costs. It is possible that the application workloads could change during the reservation period. What is the EC2 Reserved Instance (RI) type that will allow the company to exchange the purchased reserved instance for another reserved instance with higher computing power if they need to?,Elastic RI.,Premium RI.,Standard RI.,Convertible RI.,,D
question,option1,option2,option3,option4,option5,correct_answer
A global company with a large number of AWS accounts is seeking a way in which they can centrally manage billing and security policies across all accounts. Which AWS Service will assist them in meeting these goals?,AWS Organizations.,AWS Trusted Advisor.,IAM User Groups.,AWS Config.,,A
Which service provides object-level storage in AWS?,Amazon EBS.,Amazon Instance Store.,Amazon EFS.,Amazon S3.,,D
A company is concerned that they are spending money on underutilized compute resources in AWS. Which AWS feature will help ensure that their applications are automatically adding/removing EC2 compute capacity to closely match the required demand?,AWS Elastic Load Balancer.,AWS Budgets.,AWS Auto Scaling.,AWS Cost Explorer.,,C
Which S3 storage class is best for data with unpredictable access patterns?,Amazon S3 Intelligent-Tiering.,Amazon S3 Glacier Flexible Retrieval.,Amazon S3 Standard.,Amazon S3 Standard-Infrequent Access.,,A
What is the AWS database service that allows you to upload data structured in key-value format?,Amazon DynamoDB.,Amazon Aurora.,Amazon Redshift.,Amazon RDS.,,A
Which of the following is NOT correct regarding Amazon EC2 On-demand instances?,You have to pay a start-up fee when launching a new instance for the first time.,The on-demand instances follow the AWS pay-as-you-go pricing model.,With on-demand instances no longer-term commitments or upfront payments are needed.,When using on-demand Linux instances you are charged per second based on an hourly rate.,,A
A company has moved to AWS recently. Which of the following AWS Services will help ensure that they have the proper security settings? (Choose TWO),AWS Trusted Advisor.,Amazon Inspector.,Amazon SNS.,Amazon CloudWatch.,Concierge Support Team.,AB
What is the AWS feature that provides an additional level of security above the default authentication mechanism of usernames and passwords?,Encrypted keys.,Email verification.,AWS KMS.,AWS MFA.,,D
A company is introducing a new product to their customers and is expecting a surge in traffic to their web application. As part of their Enterprise Support plan which of the following provides the company with architectural and scaling guidance?,AWS Knowledge Center.,AWS Health Dashboard.,Infrastructure Event Management.,AWS Support Concierge Service.,,C
You work as an on-premises MySQL DBA. The work of database configuration backups patching and DR can be time-consuming and repetitive. Your company has decided to migrate to the AWS Cloud. Which of the following can help save time on database maintenance so you can focus on data architecture and performance?,Amazon RDS.,Amazon Redshift.,Amazon DynamoDB.,Amazon CloudWatch.,,A
Which of the below is a best-practice when designing solutions on AWS?,Invest heavily in architecting your environment as it is not easy to change your design later.,Use AWS reservations to reduce costs when testing your production environment.,Automate wherever possible to make architectural (© ) experimentation easier.,Provision a large compute capacity to handle any spikes in load,,C
According to the AWS Acceptable Use Policy which of the following statements is true regarding penetration testing of EC2 instances?,Penetration testing is not allowed in AWS.,Penetration testing is performed automatically by AWS to determine vulnerabilities in your AWS infrastructure.,Penetration testing can be performed by the customer on their own instances without prior authorization from AWS.,The AWS customers are only allowed to perform penetration testing on services managed by AWS.,,C
Which service is used to ensure that messages between software components are not lost if one or more components fail?,Amazon SQS.,Amazon SES.,AWS Direct Connect.,Amazon Connect.,,A
The principle “design for failure and nothing will fail� is very important when designing your AWS Cloud architecture. Which of the following would help adhere to this principle? (Choose TWO),Multi-factor authentication.,Availability Zones.,Elastic Load Balancing.,Penetration testing.,Vertical Scaling.,BC
What is the AWS service that provides a virtual network dedicated to your AWS account?,AWS VPN.,AWS Subnets.,AWS Dedicated Hosts.,Amazon VPC.,,D
According to the AWS Shared responsibility model which of the following are the responsibility of the customer? (Choose TWO),Managing environmental events of AWS data centers.,Protecting the confidentiality of data in transit in Amazon S3.,Controlling physical access to AWS Regions.,Ensuring that the underlying EC2 host is configured properly.,Patching applications installed on Amazon EC2.,B E
Which of the following AWS services can be used as a compute resource? (Choose TWO),Amazon VPC.,Amazon CloudWatch.,Amazon S3.,Amazon EC2.,AWS Lambda.,DE
Your company is designing a new application that will store and retrieve photos and videos. Which of the following services should you recommend as the underlying storage mechanism?,Amazon EBS.,Amazon SQS.,Amazon S3.,Amazon Instance store.,,C
Which of the following is equivalent to a user name and password and is used to authenticate your programmatic access to AWS services and APIs?,Instance Password.,Key pairs.,Access Keys.,MFA.,,C
What does Amazon ElastiCache provide?,In-memory caching for read-heavy applications.,An Ehcache compatible in-memory data store.,An online software store that allows Customers to launch pre-configured software with just few clicks.,A domain name system in the cloud.,,A
What is the AWS service that enables you to manage all of your AWS accounts from a single master account?,AWS WAF.,AWS Trusted Advisor.,AWS Organizations.,Amazon Config.,,C
Which of the following EC2 instance purchasing options supports the Bring Your Own License (BYOL) model for almost every BYOL scenario?,Dedicated Instances.,Dedicated Hosts.,On-demand Instances.,Reserved Instances.,,B
Which of the following is one of the benefits of moving infrastructure from an on-premises data center to AWS?,Free support for all enterprise customers.,Automatic data protection.,Reduced Capital Expenditure (CapEx).,AWS holds responsibility for managing customer applications.,,C
Which of the following are important design principles you should adopt when designing systems on AWS? (Choose TWO),Always use Global Services in your architecture rather than Regional Services.,Always choose to pay as you go.,Treat servers as fixed resources.,Automate wherever possible.,Remove single points of failure.,DE
Which AWS Service can be used to establish a dedicated private network connection between AWS and your datacenter?,AWS Direct Connect.,Amazon CloudFront.,AWS Snowball.,Amazon Route 53.,,A
You are working on two projects that require completely different network configurations. Which AWS service or feature will allow you to isolate resources and network configurations?,Internet gateways.,Virtual Private Cloud.,Security Groups.,Amazon CloudFront.,,B
Which of the following services can help protect your web applications from SQL injection and other vulnerabilities in your application code?,Amazon Cognito.,AWS IAM.,Amazon Aurora.,AWS WAF.,,D
An organization needs to analyze and process a large number of data sets. Which AWS service should they use?,Amazon EMR.,Amazon MQ.,Amazon SNS.,Amazon SQS.,,A
Based on the AWS Shared Responsibility Model which of the following are the sole responsibility of AWS? (Choose TWO),Monitoring network performance.,Installing software on EC2 instances.,Creating hypervisors.,Configuring Access Control Lists (ACLs).,Hardware maintenance.,C E
What is the AWS service that provides you the highest level of control over the underlying virtual infrastructure?,Amazon Redshift.,Amazon DynamoDB.,Amazon EC2.,Amazon RDS.,,C
What are the default security credentials that are required to access the AWS management console for an IAM user account?,MFA.,Security tokens.,A user name and password.,Access keys.,,C
In your on-premises environment you can create as many virtual servers as you need from a single template. What can you use to perform the same in AWS?,IAM.,An internet gateway.,EBS Snapshot.,AMI.,,D
What are two advantages of using Cloud Computing over using traditional data centers? (Choose TWO),Reserved Compute capacity.,Eliminating Single Points of Failure (SPOFs).,Distributed infrastructure.,Virtualized compute resources.,Dedicated hosting.,C D
Which of the following aspects of security are managed by AWS? (Choose TWO),Encryption of EBS volumes.,VPC security.,Access permissions.,Hardware patching.,Securing global physical infrastructure.,D E
Which statement best describes the operational excellence pillar of the AWS Well-Architected Framework?,The ability of a system to recover gracefully from failure.,The efficient use of computing resources to meet requirements.,The ability to monitor systems and improve supporting processes and procedures.,The ability to manage datacenter operations more efficiently.,,C
AWS has created a large number of Edge Locations as part of its Global Infrastructure. Which of the following is NOT a benefit of using Edge Locations?,Edge locations are used by CloudFront to cache the most recent responses.,Edge locations are used by CloudFront to improve your end users’ experience when uploading files.,Edge locations are used by CloudFront to distribute traffic across multiple instances to reduce latency.,Edge locations are used by CloudFront to distribute content to global users with low latency.,,C
What are the change management tools that helps AWS customers audit and monitor all resource changes in their AWS environment? (Choose TWO),AWS CloudTrail.,Amazon Comprehend.,AWS Transit Gateway.,AWS X-Ray.,AWS Config.,A E
Which of the following services allows you to run containerized applications on a cluster of EC2 instances?,Amazon ECS.,AWS Data Pipeline.,AWS Cloud9.,AWS Personal Health Dashboard.,,A
Which of the following services will help businesses ensure compliance in AWS?,CloudFront.,CloudEndure Migration.,CloudWatch.,CloudTrail.,,D
Which of the following procedures will help reduce your Amazon S3 costs?,Use the Import/Export feature to move old files automatically to Amazon Glacier.,Use the right combination of storage classes based on different use cases.,Pick the right Availability Zone for your S3 bucket.,Move all the data stored in S3 standard to EBS.,,B
What are the AWS services/features that can help you maintain a highly available and fault-tolerant architecture in AWS? (Choose TWO),AWS Direct Connect.,Amazon EC2 Auto Scaling.,Elastic Load Balancer.,CloudFormation.,Network ACLs.,B C
Which of the following activities may help reduce your AWS monthly costs?,Enabling Amazon EC2 Auto Scaling for all of your workloads.,Using the AWS Network Load Balancer (NLB) to load balance the incoming HTTP requests.,Removing all of your Cost Allocation Tags.,Deploying your AWS resources across multiple Availability Zones.,,A
What is the AWS service/feature that takes advantage of Amazon CloudFront’s globally distributed edge locations to transfer files to S3 with higher upload speeds?,S3 Transfer Acceleration.,AWS WAF.,AWS Snowmobile.,AWS Snowball.,,A
Which of the following AWS security features is associated with an EC2 instance and functions to filter incoming traffic requests?,AWS X-Ray.,Network ACL.,Security Groups.,VPC Flow logs.,,C
Which AWS services can be used to improve the performance of a global application and reduce latency for its users? (Choose TWO),AWS KMS.,AWS Global accelerator.,AWS Direct Connect.,AWS Glue.,Amazon CloudFront.,B E
Using Amazon RDS falls under the shared responsibility model. Which of the following are customer responsibilities? (Choose TWO),Building the relational database schema.,Performing backups.,Managing the database settings.,Patching the database software.,Installing the database software.,A C
A company has a large amount of structured data stored in their on-premises data center. They are planning to migrate all the data to AWS what is the most appropriate AWS database option?,Amazon DynamoDB.,Amazon SNS.,Amazon RDS.,Amazon ElastiCache.,,C
A company has created a solution that helps AWS customers improve their architectures on AWS. Which AWS program may support this company?,APN Consulting Partners.,AWS TAM.,APN Technology Partners.,AWS Professional Services.,,A
What is the AWS serverless service that allows you to run your applications without any administrative burden?,Amazon LightSail.,AWS Lambda.,Amazon RDS instances.,Amazon EC2 instances.,,B
Jessica is managing an e-commerce web application in AWS. The application is hosted on six EC2 instances. One day three of the instances crashed; but none of her customers were affected. What has Jessica done correctly in this scenario?,She has properly built an elastic system.,She has properly built a fault tolerant system.,She has properly built an encrypted system.,She has properly built a scalable system.,,B
Where can you store files in AWS? (Choose TWO),Amazon EFS.,Amazon SNS.,Amazon EBS.,Amazon ECS.,Amazon EMR.,A C
Which AWS service can be used to store and reliably deliver messages across distributed systems?,Amazon Simple Queue Service.,AWS Storage Gateway.,Amazon Simple Email Service.,Amazon Simple Storage Service.,,A
Which of the following describes the payment model that AWS makes available for customers that can commit to using Amazon EC2 over a one or 3-year term to reduce their total computing costs?,Pay less as AWS grows.,Pay as you go.,Pay less by using more.,Save when you reserve.,,D
A company is migrating its on-premises database to Amazon RDS. What should the company do to ensure Amazon RDS costs are kept to a minimum?,Right-size before and after migration.,Use a Multi-Region Active-Passive architecture.,Combine On-demand Capacity Reservations with Saving Plans.,Use a Multi-Region Active-Active architecture.,,A
What is the primary storage service used by Amazon RDS database instances?,Amazon Glacier.,Amazon EBS.,Amazon EFS.,Amazon S3.,,B
A company is developing a new application using a microservices framework. The new application is having performance and latency issues. Which AWS Service should be used to troubleshoot these issues?,AWS CodePipeline.,AWS X-Ray.,Amazon Inspector.,AWS CloudTrail.,,B
Which of the following AWS services is designed with native Multi-AZ fault tolerance in mind? (Choose TWO),Amazon Redshift.,AWS Snowball.,Amazon Simple Storage Service.,Amazon EBS.,Amazon DynamoDB.,C E
What are the Amazon RDS features that can be used to improve the availability of your database? (Choose TWO),AWS Regions.,Multi-AZ Deployment.,Automatic patching.,Read Replicas.,Edge Locations.,B D
Sarah has deployed an application in the Northern California (us-west-1) region. After examining the application’s traffic she notices that about 30% of the traffic is coming from Asia. What can she do to reduce latency for the users in Asia?,Replicate the current resources across multiple Availability Zones within the same region.,Migrate the application to a hosting provider in Asia.,Recreate the website content.,Create a CDN using CloudFront so that content is cached at Edge Locations close to and in Asia.,,D
An organization runs many systems and uses many AWS products. Which of the following services enables them to control how each developer interacts with these products?,AWS Identity and Access Management.,Amazon RDS.,Network Access Control Lists.,Amazon EMR.,,A
Using Amazon EC2 falls under which of the following cloud computing models?,Iaas & SaaS.,IaaS.,SaaS.,PaaS.,,B
Which of the below is a best-practice when building applications on AWS?,Strengthen physical security by applying the principle of least privilege.,Ensure that the application runs on hardware from trusted vendors.,Use IAM policies to maintain performance.,Decouple the components of the application so that they run independently.,,D
Your company is designing a new application that will store and retrieve photos and videos. Which of the following services should you recommend as the underlying storage mechanism?,Amazon EBS.,Amazon SQS.,Amazon Instance store.,Amazon S3.,,D
Amazon Glacier is an Amazon S3 storage class that is suitable for storing [...] & [...]. (Choose TWO),Active archives.,Dynamic websites’ assets.,Long-term analytic data.,Active databases.,Cached data.,A C
What does Amazon Elastic Beanstalk provide?,A PaaS solution to automate application deployment.,A compute engine for Amazon ECS.,A scalable file storage solution for use with AWS and on-premises servers.,A NoSQL database service.,,A
What is the AWS service that performs automated network assessments of Amazon EC2 instances to check for vulnerabilities?,Amazon Kinesis.,Security groups.,Amazon Inspector.,AWS Network Access Control Lists.,,C
Under the Shared Responsibility Model which of the following controls do customers fully inherit from AWS? (Choose TWO),Patch management controls.,Database controls.,Awareness & Training.,Environmental controls.,Physical controls.,D E
A company needs to host a database in Amazon RDS for at least three years. Which of the following options would be the most cost-effective solution?,Reserved instances     - No Upfront.,Reserved instances     - Partial Upfront.,On-Demand instances.,Spot Instances.,,B
Your application has recently experienced significant global growth and international users are complaining of high latency. What is the AWS characteristic that can help improve your international users’ experience?,Elasticity.,Global reach.,Data durability.,High availability.,,B
Savings Plans are available for which of the following AWS compute services? (Choose TWO),AWS Batch.,AWS Outposts.,Amazon Lightsail.,Amazon EC2.,AWS Lambda.,D E
A company has business critical workloads hosted on AWS and they are unwilling to accept any downtime. Which of the following is a recommended best practice to protect their workloads in the event of an unexpected natural disaster?,Replicate data across multiple Edge Locations worldwide and use Amazon CloudFront to perform automatic failover in the event of an outage.,Deploy AWS resources across multiple Availability Zones within the same AWS Region.,Create point-in-time backups in another subnet and recover this data when a disaster occurs.,Deploy AWS resources to another AWS Region and implement an Active-Active disaster recovery strategy.,,D
Which statement is correct with regards to AWS service limits? (Choose TWO),You can contact AWS support to increase the service limits.,Each IAM user has the same service limit.,There are no service limits on AWS.,You can use the AWS Trusted Advisor to monitor your service limits.,The Amazon Simple Email Service is responsible for sending email notifications when usage approaches a service limit.,A D
What is the AWS tool that enables you to use scripts to manage all AWS services and resources?,AWS Console.,AWS Service Catalog.,AWS OpsWorks.,AWS CLI.,,D
What are the connectivity options that can be used to build hybrid cloud architectures? (Choose TWO),AWS Artifact.,AWS Cloud9.,AWS Direct Connect.,AWS CloudTrail.,AWS VPN.,C E
A company has deployed a new web application on multiple Amazon EC2 instances. Which of the following should they use to ensure that the incoming HTTP traffic is distributed evenly across the instances?,AWS EC2 Auto Recovery.,AWS Auto Scaling.,AWS Network Load Balancer.,AWS Application Load Balancer.,,D
Which of the following AWS offerings is a MySQL-compatible relational database service that can scale capacity automatically based on demand?,Amazon Neptune.,Amazon Aurora.,Amazon RDS for SQL Server.,Amazon RDS for PostgreSQL.,,B
Which of the following can help protect your EC2 instances from DDoS attacks? (Choose TWO),AWS CloudHSM.,Security Groups.,AWS Batch.,AWS IAM.,Network Access Control Lists (Network ACLs).,B E
What is the AWS data warehouse service that supports a high level of query performance on large amounts of datasets?,Amazon Redshift.,Amazon Kinesis.,Amazon DynamoDB.,Amazon RDS.,,A
Which of the following should be considered when performing a TCO analysis to compare the costs of running an application on AWS instead of on-premises?,Application development.,Market research.,Business analysis.,Physical hardware.,,D
How are AWS customers billed for Linux-based Amazon EC2 usage?,EC2 instances will be billed on one second increments with a minimum of one minute.,EC2 instances will be billed on one hour increments with a minimum of one day.,EC2 instances will be billed on one minute increments with a minimum of one hour.,EC2 instances will be billed on one day increments with a minimum of one month.,,A
Which of the following will impact the price paid for an EC2 instance? (Choose TWO),Instance type.,The Availability Zone where the instance is provisioned.,Load balancing.,Number of buckets.,Number of private IPs.,A B
A customer spent a lot of time configuring a newly deployed Amazon EC2 instance. After the workload increases the customer decides to provision another EC2 instance with an identical configuration. How can the customer achieve this?,By creating an AWS Config template from the old instance and launching a new instance from it.,By creating an EBS Snapshot of the old instance.,By installing Aurora on EC2 and launching a new instance from it.,By creating an AMI from the old instance and launching a new instance from it.,,D
A company uses AWS Organizations to manage all of its AWS accounts. Which of the following allows the company to restrict what services and actions are allowed in each individual account?,IAM Principals.,AWS Service Control Policies (SCPs).,IAM policies.,AWS Fargate.,,B
Which of the following statements describes the AWS Cloud’s agility?,AWS allows you to host your applications in multiple regions around the world.,AWS provides customizable hardware at the lowest possible cost.,AWS allows you to provision resources in minutes.,AWS allows you to pay upfront to reduce costs.,,C
What are the benefits of using the Amazon Relational Database Service? (Choose TWO),Lower administrative burden.,Complete control over the underlying host.,Resizable compute capacity.,Scales automatically to larger or smaller instance types.,Supports the document and key-value data structure.,A C
What is the connectivity option that uses Internet Protocol Security (IPSec) to establish encrypted connectivity between an on-premises network and the AWS Cloud?,Internet Gateway.,AWS IQ.,AWS Direct Connect.,AWS Site-to-Site VPN.,,D
What is the minimum level of AWS support that provides 24x7 access to technical support engineers via phone and chat?,Enterprise Support.,Developer Support.,Basic Support.,Business Support.,,D
Which of the following is used to control network traffic in AWS? (Choose TWO),Network Access Control Lists (NACLs).,Key Pairs.,Access Keys.,IAM Policies.,Security Groups.,A E
A company has developed a media transcoding application in AWS. The application is designed to recover quickly from hardware failures. Which one of the following types of instance would be the most cost-effective choice to use?,Reserved instances.,Spot Instances.,On-Demand instances.,Dedicated instances.,,B
Which AWS Service provides the current status of all AWS Services in all AWS Regions?,AWS Service Health Dashboard.,AWS Management Console.,Amazon CloudWatch.,AWS Personal Health Dashboard.,,A
